simulation_time	physical_time	district_heating_grid.energy_sold_inside	district_heating_grid.energy_sold_outside	district_heating_grid.energy_bought_inside	district_heating_grid.energy_bought_outside	district_heating_grid.energy_erased_consumption	district_heating_grid.energy_erased_production	district_heating_grid.money_spent_inside	district_heating_grid.money_spent_outside	district_heating_grid.money_earned_inside	district_heating_grid.money_earned_outside	
918	2018-02-08 06:00:00	1931.9110348158217	0	1931.9110348158215	0	0.0	234.0889651841785	430.97849123869116	0	856.7472013065158	0	
919	2018-02-08 07:00:00	1873.9646182127262	0	1873.9646182127262	0	0.0	292.03538178727376	418.0515713390532	0	831.2763005184238	0	
920	2018-02-08 08:00:00	1954.3745963407705	0	1954.3745963407705	0	0.0	211.6254036592295	435.9897529786982	0	859.0640174892843	0	
921	2018-02-08 09:00:00	1692.3739309050677	0	1692.3739309050675	0	0.0	473.6260690949325	377.5415897568461	0	736.341866166874	0	
922	2018-02-08 10:00:00	1544.8739613699152	0	1544.8739613699152	0	0.0	621.1260386300848	344.63670273958587	0	671.5068459790034	0	
923	2018-02-08 11:00:00	1381.5704236702823	0	1381.5704236702823	0	0.0	784.4295763297177	308.2062921133335	0	599.7252164852897	0	
924	2018-02-08 12:00:00	1228.8025980803027	0	1228.8025980803027	0	0.0	937.1974019196973	330.8576524471065	0	737.1412578071713	0	
925	2018-02-08 13:00:00	1128.713333038592	0	1128.713333038592	0	0.0	1037.286666961408	303.90840989293946	0	678.0224649105442	0	
926	2018-02-08 14:00:00	1033.8919240517084	0	1033.8919240517084	0	0.0	1132.1080759482916	278.37754852583396	0	622.0151874295289	0	
927	2018-02-08 15:00:00	997.0169316679203	0	997.0169316679203	0	0.0	1168.9830683320797	268.448880216404	0	600.2345795202452	0	
928	2018-02-08 16:00:00	1002.2847877227471	0	1002.2847877227471	0	0.0	1163.715212277253	269.8672614034654	0	603.3460949358571	0	
929	2018-02-08 17:00:00	1164.1961881167392	0	1164.1961881167392	0	0.0	1001.8038118832608	313.46224234057354	0	687.6449068502428	0	
930	2018-02-08 18:00:00	1025.8397933855995	0	1025.8397933855995	0	0.0	1140.1602066144005	276.2094956151808	0	594.587340074747	0	
931	2018-02-08 19:00:00	1089.054066043522	0	1089.054066043522	0	0.0	1076.945933956478	293.2300698599178	0	631.9255250620904	0	
932	2018-02-08 20:00:00	1168.071906865925	0	1168.071906865925	0	0.0	997.928093134075	314.50578766583914	0	678.5982562962697	0	
933	2018-02-08 21:00:00	1241.8218916335013	0	1241.8218916335013	0	0.0	924.1781083664987	334.363124284699	0	722.1594721148372	0	
934	2018-02-08 22:00:00	1336.643300620385	0	1336.643300620385	0	0.0	829.3566993796151	359.8939856518044	0	778.1667495958524	0	
935	2018-02-08 23:00:00	1306.4283015970648	0	1306.428301597065	0	0.0	859.571698402935	351.7585343912319	0	771.6558230717658	0	
936	2018-02-09 00:00:00	1438.1247029677365	0	1438.1247029677365	0	0.0	727.8752970322635	320.82264841828726	0	632.1414468317375	0	
937	2018-02-09 01:00:00	1617.2318088318502	0	1617.2318088318502	0	0.0	548.7681911681498	360.7785826535319	0	710.8696856312945	0	
938	2018-02-09 02:00:00	1759.4639223121758	0	1759.4639223121758	0	0.0	406.5360776878242	392.5082951344614	0	773.3891693838839	0	
939	2018-02-09 03:00:00	1870.0888994635404	0	1870.0888994635407	0	0.0	295.91110053645934	417.18696039740666	0	822.0154345247869	0	
940	2018-02-09 04:00:00	1912.2317479021553	0	1912.2317479021553	0	0.0	253.76825209784465	426.5883566880524	0	840.5397260070355	0	
941	2018-02-09 05:00:00	1812.1424828604445	0	1812.1424828604445	0	0.0	353.8575171395555	404.2600404977686	0	796.5445337366948	0	
942	2018-02-09 06:00:00	1831.821769774111	0	1831.821769774111	0	0.0	334.1782302258889	408.65017504840745	0	812.752009036175	0	
943	2018-02-09 07:00:00	1900.3038984868608	0	1900.3038984868608	0	0.0	265.6961015131392	423.9274440207069	0	842.8539826948293	0	
944	2018-02-09 08:00:00	2165.0888385338453	0	2165.0888385338453	0	0.0	0.911161466154681	482.9967344319271	0	951.6854749005279	0	
945	2018-02-09 09:00:00	1818.8024762209125	0	1818.8024762209125	0	0.0	347.19752377908753	405.74577862878346	0	791.9147406136201	0	
946	2018-02-09 10:00:00	1486.9275447668197	0	1486.9275447668197	0	0.0	679.0724552331803	331.70978283994793	0	646.0359451909114	0	
