simulation_time	physical_time	PV_field_1.LVE.energy	PV_field_1.LVE.money	PV_field_2.LVE.energy	PV_field_2.LVE.money	WT_field_1.LVE.energy	WT_field_1.LVE.money	WT_field_2.LVE.energy	WT_field_2.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
6483	2021-09-28 03:00:00	0	0	0	0	0	0	0	0	8677.6921276662	0.2	
6484	2021-09-28 04:00:00	0	0	0	0	0	0	0	0	8105.24516727928	0.2	
6485	2021-09-28 05:00:00	0	0	0	0	0	0	0	0	7536.06006868768	0.18	
6486	2021-09-28 06:00:00	-155.22163765546875	0.04	-155.22163765546875	0.04	0	0	0	0	8667.35788068894	0.18	
6487	2021-09-28 07:00:00	-1441.1715869179689	0.04	-1441.1715869179689	0.04	0	0	0	0	13353.076710794221	0.18	
6488	2021-09-28 08:00:00	-2865.1581921875	0.04	-2865.1581921875	0.04	0	0	0	0	12517.86904904622	0.18	
6489	2021-09-28 09:00:00	-4039.3029579500003	0.06	-4039.3029579500003	0.06	0	0	0	0	9420.7711488249	0.2	
6490	2021-09-28 10:00:00	-4920.940518046874	0.06	-4920.940518046874	0.06	0	0	0	0	9914.30576151728	0.2	
6491	2021-09-28 11:00:00	-5293.5285199875	0.06	-5293.5285199875	0.06	0	0	0	0	8812.27405005314	0.2	
6492	2021-09-28 12:00:00	-5535.378190546875	0.06	-5535.378190546875	0.06	0	0	0	0	9759.13010185466	0.2	
6493	2021-09-28 13:00:00	-5212.077584261719	0.06	-5212.077584261719	0.06	0	0	0	0	8899.09592876906	0.2	
6494	2021-09-28 14:00:00	-4567.686385171875	0.06	-4567.686385171875	0.06	0	0	0	0	11265.59586212696	0.2	
6495	2021-09-28 15:00:00	-3581.348147686719	0.06	-3581.348147686719	0.06	0	0	0	0	10691.65620653862	0.2	
6496	2021-09-28 16:00:00	-2456.5819010992186	0.06	-2456.5819010992186	0.06	0	0	0	0	14040.21868333578	0.2	
6497	2021-09-28 17:00:00	-1059.253994805469	0.04	-1059.253994805469	0.04	0	0	0	0	15456.6711595813	0.18	
6498	2021-09-28 18:00:00	-34.28973695	0.04	-34.28973695	0.04	0	0	0	0	16765.5266859565	0.18	
6499	2021-09-28 19:00:00	0	0	0	0	0	0	0	0	20477.0149198518	0.18	
6500	2021-09-28 20:00:00	0	0	0	0	0	0	0	0	20987.815751657403	0.18	
6501	2021-09-28 21:00:00	0	0	0	0	0	0	0	0	21038.2335667216	0.2	
6502	2021-09-28 22:00:00	0	0	0	0	0	0	0	0	18488.072480755858	0.2	
6503	2021-09-28 23:00:00	0	0	0	0	0	0	0	0	14463.978642645221	0.2	
6504	2021-09-29 00:00:00	0	0	0	0	0	0	0	0	9373.71221874034	0.2	
6505	2021-09-29 01:00:00	0	0	0	0	0	0	0	0	9759.60313978636	0.2	
6506	2021-09-29 02:00:00	0	0	0	0	0	0	0	0	9162.42854855212	0.2	
6507	2021-09-29 03:00:00	0	0	0	0	0	0	0	0	8677.6921276662	0.2	
6508	2021-09-29 04:00:00	0	0	0	0	0	0	0	0	8105.24516727928	0.2	
