simulation_time	physical_time	flexible_loads.LVE.energy	flexible_loads.LVE.money	rigid_electricity_consumption.LVE.energy	rigid_electricity_consumption.LVE.money	
235	2021-01-10 19:00:00	1500	0.18	16157.421654725444	0.18	
236	2021-01-10 20:00:00	1500	0.18	18064.41830062795	0.18	
237	2021-01-10 21:00:00	1500	0.2	17796.243430068283	0.2	
238	2021-01-10 22:00:00	1500	0.2	16385.74970442428	0.2	
239	2021-01-10 23:00:00	1500	0.2	14341.70942343181	0.2	
240	2021-01-11 00:00:00	1500	0.2	11293.277808775532	0.2	
241	2021-01-11 01:00:00	1500	0.2	10851.189338042499	0.2	
242	2021-01-11 02:00:00	1500	0.2	10200.902573681615	0.2	
243	2021-01-11 03:00:00	1500	0.2	9341.709154409886	0.2	
244	2021-01-11 04:00:00	1500	0.2	8536.560500889087	0.2	
245	2021-01-11 05:00:00	1500	0.18	7771.696479439116	0.18	
246	2021-01-11 06:00:00	1500	0.18	8543.468439719116	0.18	
247	2021-01-11 07:00:00	1500	0.18	10138.649627672105	0.18	
248	2021-01-11 08:00:00	1500	0.18	10235.182078205906	0.18	
249	2021-01-11 09:00:00	1500	0.2	7760.008048776179	0.2	
250	2021-01-11 10:00:00	1500	0.2	6646.025691997627	0.2	
251	2021-01-11 11:00:00	1500	0.2	5525.944035721456	0.2	
252	2021-01-11 12:00:00	1500	0.2	4958.620422481837	0.2	
253	2021-01-11 13:00:00	1500	0.2	6782.513266832099	0.2	
254	2021-01-11 14:00:00	1500	0.2	7889.940795613772	0.2	
255	2021-01-11 15:00:00	1500	0.2	8862.171139511787	0.2	
256	2021-01-11 16:00:00	1500	0.2	11278.024461917938	0.2	
257	2021-01-11 17:00:00	1500	0.18	12309.369154192478	0.18	
258	2021-01-11 18:00:00	1500	0.18	13559.65468740184	0.18	
259	2021-01-11 19:00:00	1500	0.18	16157.421654725444	0.18	
260	2021-01-11 20:00:00	1500	0.18	18064.41830062795	0.18	
261	2021-01-11 21:00:00	1500	0.2	17796.243430068283	0.2	
262	2021-01-11 22:00:00	1500	0.2	16385.74970442428	0.2	
263	2021-01-11 23:00:00	1500	0.2	14341.70942343181	0.2	
264	2021-01-12 00:00:00	1500	0.2	11293.277808775532	0.2	
265	2021-01-12 01:00:00	1500	0.2	10851.189338042499	0.2	
266	2021-01-12 02:00:00	1500	0.2	10200.902573681615	0.2	
267	2021-01-12 03:00:00	1500	0.2	9341.709154409886	0.2	
268	2021-01-12 04:00:00	1500	0.2	8536.560500889087	0.2	
269	2021-01-12 05:00:00	1500	0.18	7771.696479439116	0.18	
270	2021-01-12 06:00:00	1500	0.18	8543.468439719116	0.18	
