simulation_time	physical_time	DHN_manager.LTH.energy_bought	DHN_manager.LTH.energy_sold	DHN_manager.LTH.energy_erased	DHN_manager.LTH.energy_imbalance	DHN_manager.money_spent	DHN_manager.money_earned	
2946	2018-05-03 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2947	2018-05-03 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2948	2018-05-03 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2949	2018-05-03 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2950	2018-05-03 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2951	2018-05-03 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2952	2018-05-04 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2953	2018-05-04 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2954	2018-05-04 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2955	2018-05-04 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2956	2018-05-04 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2957	2018-05-04 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2958	2018-05-04 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2959	2018-05-04 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2960	2018-05-04 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2961	2018-05-04 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2962	2018-05-04 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2963	2018-05-04 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2964	2018-05-04 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2965	2018-05-04 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2966	2018-05-04 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2967	2018-05-04 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2968	2018-05-04 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2969	2018-05-04 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2970	2018-05-04 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2971	2018-05-04 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2972	2018-05-04 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2973	2018-05-04 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2974	2018-05-04 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2975	2018-05-04 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2976	2018-05-05 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2977	2018-05-05 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2978	2018-05-05 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2979	2018-05-05 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2980	2018-05-05 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2981	2018-05-05 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2982	2018-05-05 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2983	2018-05-05 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2984	2018-05-05 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2985	2018-05-05 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2986	2018-05-05 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2987	2018-05-05 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2988	2018-05-05 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2989	2018-05-05 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2990	2018-05-05 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2991	2018-05-05 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2992	2018-05-05 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2993	2018-05-05 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2994	2018-05-05 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2995	2018-05-05 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2996	2018-05-05 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2997	2018-05-05 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2998	2018-05-05 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
2999	2018-05-05 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3000	2018-05-06 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3001	2018-05-06 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3002	2018-05-06 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3003	2018-05-06 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3004	2018-05-06 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3005	2018-05-06 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3006	2018-05-06 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3007	2018-05-06 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3008	2018-05-06 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3009	2018-05-06 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3010	2018-05-06 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3011	2018-05-06 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3012	2018-05-06 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3013	2018-05-06 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3014	2018-05-06 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3015	2018-05-06 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3016	2018-05-06 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3017	2018-05-06 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3018	2018-05-06 18:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3019	2018-05-06 19:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3020	2018-05-06 20:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3021	2018-05-06 21:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3022	2018-05-06 22:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3023	2018-05-06 23:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3024	2018-05-07 00:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3025	2018-05-07 01:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3026	2018-05-07 02:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3027	2018-05-07 03:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3028	2018-05-07 04:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3029	2018-05-07 05:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3030	2018-05-07 06:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3031	2018-05-07 07:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3032	2018-05-07 08:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3033	2018-05-07 09:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3034	2018-05-07 10:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3035	2018-05-07 11:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3036	2018-05-07 12:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3037	2018-05-07 13:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3038	2018-05-07 14:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3039	2018-05-07 15:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3040	2018-05-07 16:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
3041	2018-05-07 17:00:00	0.0	0.0	1116.6	0.0	0.0	0.0	
