simulation_time	physical_time	LTH.energy_consumed	LTH.energy_produced	LTH.energy_erased	LTH.money_spent	LTH.money_earned	
2395	2018-04-10 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2396	2018-04-10 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2397	2018-04-10 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2398	2018-04-10 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2399	2018-04-10 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2400	2018-04-11 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2401	2018-04-11 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2402	2018-04-11 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2403	2018-04-11 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2404	2018-04-11 04:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2405	2018-04-11 05:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2406	2018-04-11 06:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2407	2018-04-11 07:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2408	2018-04-11 08:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2409	2018-04-11 09:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2410	2018-04-11 10:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2411	2018-04-11 11:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2412	2018-04-11 12:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2413	2018-04-11 13:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2414	2018-04-11 14:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2415	2018-04-11 15:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2416	2018-04-11 16:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2417	2018-04-11 17:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2418	2018-04-11 18:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2419	2018-04-11 19:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2420	2018-04-11 20:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2421	2018-04-11 21:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2422	2018-04-11 22:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2423	2018-04-11 23:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2424	2018-04-12 00:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2425	2018-04-12 01:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2426	2018-04-12 02:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
2427	2018-04-12 03:00:00	1299.5	1299.5	1.0	649.75	259.90000000000003	
